,prop_name,rent,rent_type,region,district,property_type,rooms,parking,bathroom,size,furnished_rate,facilities_rate
218,Alpha Villa,1500,house,Kuala Lumpur,Wangsa Maju,Apartment,3,,2.0,1070,1,6.0
219,M Centura,2500,house,Kuala Lumpur,Sentul,Service Residence,3,,2.0,850,2,10.0
220,Wangsa Maju Seksyen2 Flat Block F,750,house,Kuala Lumpur,Wangsa Maju,Flat,2,2.0,1.0,580,1,9.0
221,28 Boulevard,1700,room,Kuala Lumpur,Pandan Perdana,Apartment,1,,1.0,450,2,10.0
222,Residensi Pandanmas 2,1200,house,Kuala Lumpur,Desa Pandan,Condominium,3,,2.0,900,0,8.0
223,Regalia Residence,2100,room,Kuala Lumpur,Jalan Sultan Ismail,Service Residence,1,,1.0,560,2,5.0
224,Pangsapuri Mawar (Sentul),1400,house,Kuala Lumpur,Sentul,Condominium,3,2.0,2.0,1010,0,3.0
225,Casa Kiara 1,3000,house,Kuala Lumpur,Mont Kiara,Condominium,4,2.0,3.0,1268,2,14.0
226,Nusa Mewah Villa Condominium,1400,house,Kuala Lumpur,Cheras,Condominium,3,2.0,2.0,865,2,10.0
227,Mizumi Residences,1400,house,Kuala Lumpur,Kepong,Service Residence,3,2.0,2.0,932,1,12.0
228,Flat Pkns Au3,650,house,Kuala Lumpur,Keramat,Flat,2,,1.0,568,1,3.0
229,Maxim Citilights,1350,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,1095,0,14.0
230,,1600,room,Kuala Lumpur,Old Klang Road,Duplex,1,1.0,2.0,775,2,11.0
231,,1700,house,Kuala Lumpur,Old Klang Road,Service Residence,2,1.0,2.0,775,2,11.0
232,Kenanga Point,1599,house,Kuala Lumpur,Pudu,Condominium,3,1.0,2.0,900,1,9.0
233,Royal Domain Sri Putramas 2,1880,house,Kuala Lumpur,Jalan Kuching,Service Residence,3,1.0,2.0,1290,1,11.0
234,Villa Crystal,1800,house,Kuala Lumpur,Segambut,Condominium,3,2.0,3.0,1298,1,7.0
235,Damansara Foresta,2000,house,Kuala Lumpur,Sri Damansara,Condominium,4,2.0,3.0,1492,1,9.0
