appid,name,release_date,english,developer,publisher,platforms_windows,platform_mac,platform_linux,required_age,categories,genres,achievements,positive_ratings,negative_ratings,average_playtime,owners,price
811250,Content Creator Simulator,3/9/2018,1,Epic Fire,DNB Media,1,0,0,universal,Single-player,Casual,1000,2,1,0,0-20000,0.79
963930,Contractors,12/14/2018,1,Caveman Studio,Caveman Studio,1,0,0,universal,Single-player,Action,0,539,86,0,20000-50000,15.49
831150,Conveyor VR,12/11/2018,1,Updraft Studios,Updraft Studios,1,0,0,universal,Single-player,Casual,0,5,0,0,0-20000,7.19
848680,Cool Dragon,5/31/2018,1,keenEdge,Enjoy Games,1,0,0,universal,Single-player,Action,0,2,2,0,0-20000,2.89
848660,Cool Headed,9/6/2018,1,joqlepecheur,joqlepecheur,1,0,0,universal,Single-player,Indie,18,6,0,0,0-20000,2.89
765590,Co-op SNEK Online,4/13/2018,1,Jhomas,Jhomas,1,1,1,universal,Single-player,Action,14,18,3,0,0-20000,2.09
960010,Coop Tank War,10/25/2018,1,Garnudo Games,Garnudo Games,1,0,0,universal,Single-player,Action,0,1,0,0,0-20000,0.79
776780,Copierre,1/23/2018,1,Tiny Ghost Studios,Tiny Ghost Studios,1,0,0,universal,Single-player,RPG,10,9,0,0,0-20000,3.99
349250,Copy Kitty,4/19/2018,1,Nuclear Strawberry,Degica,1,0,0,universal,Single-player,Action,56,147,2,0,0-20000,11.39
878150,Core Awaken ~The Yuka~,7/10/2018,1,Celusis,CelLab,1,0,0,universal,Single-player,Action,0,17,2,0,0-20000,7.19
930430,Core Rescue,12/24/2018,1,Hot Zombies Games,Hot Zombies Games,1,0,0,universal,Single-player,Action,23,2,0,0,0-20000,3.99
828460,Corpse Mob,6/4/2018,1,Organic Robot Games,Organic Robot Games,1,0,0,universal,Single-player,Action,25,3,2,0,0-20000,1.69
833400,Corral,9/26/2018,1,The Sherrinford,The Sherrinford,1,0,0,universal,Single-player,Simulation,0,13,6,0,0-20000,7.19
636070,Corridor Z,1/8/2018,1,Mass Creation,Mass Creation,1,1,1,universal,Single-player,Violent,13,9,2,0,0-20000,5.99
927850,Corrupt,9/14/2018,0,Opendream,Opendream,1,1,0,universal,Single-player,Indie,19,11,2,0,0-20000,0
969860,Corrupt The Priest,12/14/2018,1,Dreambakers,Dreambakers,1,1,0,universal,Single-player,Indie,7,0,4,0,0-20000,5.19
832610,Corrupted,9/27/2018,1,Juvty Worlds Ltd.,Juvty Worlds Ltd.,1,1,1,universal,Single-player,Action,0,24,14,0,0-20000,7.19
909580,Cortex,11/2/2018,1,RewindApp,RewindApp,1,0,0,universal,Single-player,Casual,0,17,12,0,0-20000,0.79
998820,Cortex,12/28/2018,1,Milan Toth,Milan Toth,1,1,1,universal,Single-player,Action,0,5,0,0,0-20000,0
954000,Cosa Nostra,11/13/2018,1,Nicholas Rizzo,Nicholas Rizzo,1,0,0,universal,Single-player,Action,0,13,6,0,0-20000,7.19
747230,Cosmic Buddies Town,1/5/2018,1,Ghost Clusters,Funbox Media Ltd,1,0,0,universal,Single-player,Simulation,0,1,0,0,0-20000,2.09
894740,Cosmic Ray,9/28/2018,1,Cosmocat,Cosmocat,1,0,0,universal,Single-player,Action,5,2,1,0,0-20000,2.09
809360,COSMIC SNAKE 8473/3671(HAMLETs),5/23/2018,1,"Mindware Co.,Ltd.","Mindware Co.,Ltd.	",1,0,0,universal,Single-player,Action,52,10,1,0,0-20000,7.19
